n_pcs,resolution,silhouette_score
17,0.1,-0.007460682
17,0.30000000000000004,-0.09194487
17,0.5,-0.14851366
17,0.7000000000000001,-0.14294246
17,0.9,-0.14194554
18,0.1,-0.008767652
18,0.30000000000000004,-0.09319329
18,0.5,-0.15494789
18,0.7000000000000001,-0.15036003
18,0.9,-0.1496087
19,0.1,-0.02418555
19,0.30000000000000004,-0.0915551
19,0.5,-0.15447436
19,0.7000000000000001,-0.15229082
19,0.9,-0.15091273
20,0.1,-0.00832248
20,0.30000000000000004,-0.0939252
20,0.5,-0.15251218
20,0.7000000000000001,-0.14615099
20,0.9,-0.15248054
21,0.1,-0.00665747
21,0.30000000000000004,-0.0949803
21,0.5,-0.15911478
21,0.7000000000000001,-0.15583956
21,0.9,-0.14311829
22,0.1,-0.022504902
22,0.30000000000000004,-0.09404785
22,0.5,-0.1548027
22,0.7000000000000001,-0.15138912
22,0.9,-0.149712
