p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,name,description
2.34262504053355e-163,0.528828417480149,1.0,1.0,4.68525008106709e-160,0,AAEL003060,,female-specific chymotrypsin
3.21302252435311e-76,0.399394238713409,1.0,1.0,6.42604504870621e-73,1,AAEL003060,,female-specific chymotrypsin
1.06776065349713e-68,0.383774501194061,1.0,1.0,2.13552130699426e-65,2,AAEL003060,,female-specific chymotrypsin
7.36127989893966e-35,0.326578738338031,0.989,0.962,1.4722559797879302e-31,0,AAEL004798,,Mucin-like peritrophin [Source:UniProtKB/TrEMBL%3BAcc:Q9GPU9]
1.96062579908278e-87,0.469352997323543,0.999,0.96,3.92125159816555e-84,1,AAEL004798,,Mucin-like peritrophin [Source:UniProtKB/TrEMBL%3BAcc:Q9GPU9]
7.21848591252213e-51,0.353975240504828,0.999,0.96,1.4436971825044302e-47,2,AAEL004798,,Mucin-like peritrophin [Source:UniProtKB/TrEMBL%3BAcc:Q9GPU9]
1.4632777158297e-17,0.252181672548416,1.0,0.965,2.92655543165941e-14,3,AAEL004798,,Mucin-like peritrophin [Source:UniProtKB/TrEMBL%3BAcc:Q9GPU9]
2.6374139806687398e-34,0.313436215756323,0.996,0.976,5.27482796133747e-31,0,AAEL014516,,metalloproteinase%2C putative
6.65718701278265e-282,0.824381886711336,1.0,0.976,1.33143740255653e-278,1,AAEL014516,,metalloproteinase%2C putative
2.15035845466462e-22,0.370872898047109,0.883,0.889,4.30071690932923e-19,0,AAEL026466,,unspecified product
3.51033815156234e-64,0.491277687829371,0.973,0.866,7.020676303124671e-61,2,AAEL026466,,unspecified product
8.08748452624142e-32,0.509624174152216,0.984,0.878,1.61749690524828e-28,3,AAEL026466,,unspecified product
1.5030181350946902e-09,0.493172633704859,0.957,0.886,3.00603627018938e-06,7,AAEL026466,,unspecified product
1.16809746508021e-08,0.29305233987752,0.751,0.851,2.33619493016041e-05,0,AAEL022334,,unspecified product
2.73226101226244e-19,0.36261942563001,0.959,0.815,5.46452202452488e-16,3,AAEL022334,,unspecified product
4.4731660308328105e-09,0.972858055503204,0.874,0.826,8.94633206166562e-06,6,AAEL022334,,unspecified product
1.07445351841594e-06,1.38646548386247,0.8,0.829,0.0021489070368318,10,AAEL022334,,unspecified product
0.0005835028601216,1.89857144164115,0.976,0.827,1.0,11,AAEL022334,,unspecified product
0.0,2.26947092783575,0.937,0.568,0.0,1,AAEL010196,,trypsin
0.0,2.0846655708414,0.857,0.478,0.0,1,AAEL013715,,trypsin
9.55194671477853e-22,0.576513519060549,0.891,0.545,1.91038934295571e-18,8,AAEL013715,,trypsin
0.0,2.08236485518077,0.97,0.602,0.0,1,AAEL023729,,unspecified product
9.62918322934934e-282,1.52466400733324,0.885,0.559,1.92583664586987e-278,1,AAEL000500,,unspecified product
1.8385754355622098e-275,1.6354816587332,0.95,0.674,3.6771508711244196e-272,1,AAEL015136,,Niemann-Pick Type C-2%2C putative
0.0002297237539711,1.15282419086541,0.878,0.73,0.459447507942348,11,AAEL015136,,Niemann-Pick Type C-2%2C putative
1.47648656118155e-267,1.88251153703498,0.725,0.414,2.95297312236309e-264,1,AAEL013712,,trypsin 5G1 Precursor (EC 3.4.21.4)
1.01656087329148e-223,1.96769542474697,0.765,0.506,2.03312174658296e-220,1,AAEL007601,,trypsin
7.687163948460191e-196,1.33867835095653,0.737,0.45,1.53743278969204e-192,1,AAEL001693,,serine-type enodpeptidase
5.5598616029386004e-195,1.4632210141841,0.789,0.542,1.1119723205877199e-191,1,AAEL007591,,ML domain-containing protein [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4FH47]
1.7106511973027098e-177,1.07859488328124,0.965,0.742,3.42130239460541e-174,1,AAEL008769,,serine-type enodpeptidase%2C
7.988366649844159e-170,1.04892006782125,0.846,0.531,1.59767332996883e-166,1,AAEL001113,,inorganic phosphate cotransporter%2C putative
3.47180043670925e-27,0.833604431253836,0.914,0.585,6.9436008734185e-24,8,AAEL001113,,inorganic phosphate cotransporter%2C putative
2.34760680642919e-10,3.46961278763046,0.854,0.594,4.69521361285839e-07,11,AAEL001113,,inorganic phosphate cotransporter%2C putative
1.72632891570222e-168,1.06751753592483,0.702,0.473,3.45265783140444e-165,1,AAEL027166,,unspecified product
1.0747561125785401e-44,0.805137919652514,0.895,0.509,2.1495122251570899e-41,8,AAEL027166,,unspecified product
5.956472579523461e-157,1.02348551211788,0.885,0.632,1.19129451590469e-153,1,AAEL010776,,carboxypeptidase
1.50285977293146e-154,0.913818078096678,0.945,0.716,3.0057195458629202e-151,1,AAEL010782,,carboxypeptidase
2.39153631187627e-31,0.285717272455479,0.916,0.724,4.78307262375254e-28,2,AAEL010782,,carboxypeptidase
5.68318384777178e-145,0.792684370159102,0.981,0.834,1.13663676955436e-141,1,AAEL013623,,trypsin
1.2941398908444599e-36,0.267604454950286,0.957,0.84,2.58827978168893e-33,2,AAEL013623,,trypsin
4.84555861569122e-36,0.488931129556903,0.977,0.853,9.69111723138243e-33,3,AAEL013623,,trypsin
1.21807527051408e-141,1.2427767670128,0.875,0.613,2.43615054102816e-138,1,AAEL001690,,serine-type enodpeptidase
1.23978483872584e-125,0.831060221223733,0.887,0.631,2.47956967745168e-122,1,AAEL002263,,unspecified product
2.05219103191671e-10,1.0111498452217,0.88,0.677,4.10438206383342e-07,7,AAEL002263,,unspecified product
1.21401001713425e-119,1.00386546063933,0.733,0.534,2.42802003426849e-116,1,AAEL015247,,unspecified product
4.08280952856716e-56,0.412429594523262,0.762,0.555,8.16561905713433e-53,3,AAEL015247,,unspecified product
0.0048669483828214,1.39192423495237,0.634,0.574,1.0,11,AAEL015247,,unspecified product
1.60011130253036e-118,0.999547940900663,0.581,0.296,3.20022260506072e-115,1,AAEL022033,,unspecified product
1.07532762232985e-06,1.58456829136616,0.61,0.353,0.0021506552446597,11,AAEL022033,,unspecified product
3.89947610541387e-115,0.960364632811269,0.713,0.492,7.79895221082774e-112,1,AAEL012702,,ATP-binding cassette sub-family A member 3%2C putative [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4FWY8]
1.70490460084881e-43,0.366239961875354,0.72,0.519,3.4098092016976297e-40,3,AAEL012702,,ATP-binding cassette sub-family A member 3%2C putative [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4FWY8]
9.67922765917336e-12,0.278778230269431,0.768,0.53,1.93584553183467e-08,8,AAEL012702,,ATP-binding cassette sub-family A member 3%2C putative [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4FWY8]
2.98503255306051e-110,0.491274662921777,0.751,0.548,5.97006510612101e-107,1,AAEL000859,,unspecified product
6.090216105096089e-30,0.711052060584634,0.941,0.579,1.21804322101922e-26,8,AAEL000859,,unspecified product
4.2455493325434395e-28,3.19096583421197,0.776,0.586,8.49109866508688e-25,10,AAEL000859,,unspecified product
1.02830433950384e-108,0.762196770364598,0.695,0.498,2.05660867900768e-105,1,AAEL009843,,serine-type enodpeptidase%2C
0.0003945054494992,1.62253105142221,0.512,0.538,0.78901089899843,10,AAEL009843,,serine-type enodpeptidase%2C
4.29456320654858e-104,0.74846109563909,0.726,0.51,8.58912641309715e-101,1,AAEL015110,,dipeptidyl-peptidase
5.9208484386089494e-55,0.412252983776028,0.769,0.532,1.18416968772179e-51,3,AAEL015110,,dipeptidyl-peptidase
3.4105363120455597e-103,1.17958391129808,0.61,0.449,6.821072624091119e-100,1,AAEL013284,LT1,late trypsin 1%2C serine-type enodpeptidase
2.74719049177989e-94,0.990168443920697,0.519,0.381,5.494380983559781e-91,1,AAEL013118,,unspecified product
4.74823528110054e-90,0.690160059798562,0.698,0.448,9.49647056220107e-87,1,AAEL022600,,unspecified product
2.5754650152917797e-33,0.304831592933256,0.71,0.478,5.15093003058356e-30,3,AAEL022600,,unspecified product
5.34521432903845e-88,0.646137433259557,0.887,0.67,1.06904286580769e-84,1,AAEL008784,,serine-type enodpeptidase%2C
3.36555817873144e-33,0.333926985589532,0.879,0.672,6.73111635746288e-30,2,AAEL008784,,serine-type enodpeptidase%2C
9.869982376477269e-43,0.528000500798119,0.913,0.694,1.97399647529545e-39,3,AAEL008784,,serine-type enodpeptidase%2C
3.04795477253025e-85,0.788450677775596,0.531,0.354,6.0959095450605e-82,1,AAEL007432,,serine collagenase 1 precursor%2C putative
1.97931288084771e-13,1.37638849184721,0.639,0.382,3.9586257616954303e-10,7,AAEL007432,,serine collagenase 1 precursor%2C putative
6.34609974874032e-82,0.656532610767906,0.544,0.35,1.26921994974806e-78,1,AAEL014734,,unspecified product
2.52323535823437e-81,0.451603747217073,0.838,0.595,5.04647071646874e-78,1,AAEL008428,,unspecified product
4.64564347994767e-25,3.36684236851065,0.776,0.643,9.29128695989534e-22,10,AAEL008428,,unspecified product
4.7088273440778696e-79,0.437994665337702,0.622,0.4,9.41765468815574e-76,1,AAEL006902,,serine-type enodpeptidase%2C
3.20607797183028e-13,2.83680316351688,0.584,0.443,6.41215594366056e-10,10,AAEL006902,,serine-type enodpeptidase%2C
1.90457788975431e-78,0.441248578239628,0.966,0.826,3.80915577950861e-75,1,AAEL022570,,unspecified product
1.1044978506148398e-42,0.483491745972345,0.987,0.841,2.20899570122967e-39,3,AAEL022570,,unspecified product
4.18216658701922e-11,0.474149294375719,0.927,0.853,8.36433317403843e-08,7,AAEL022570,,unspecified product
1.37710222729398e-21,3.06305105220061,1.0,0.854,2.7542044545879498e-18,11,AAEL022570,,unspecified product
1.31025497069678e-76,0.478597928760006,0.651,0.479,2.62050994139356e-73,1,AAEL008599,,zinc carboxypeptidase
1.0411298608539802e-25,0.267556237878235,0.667,0.475,2.08225972170797e-22,2,AAEL008599,,zinc carboxypeptidase
3.14448918488549e-76,0.370271788522849,0.445,0.247,6.28897836977098e-73,1,AAEL006322,,unspecified product
2.85097353151584e-46,1.73381179283873,0.755,0.273,5.70194706303168e-43,8,AAEL006322,,unspecified product
9.19800264056132e-76,0.495737026811347,0.598,0.424,1.83960052811226e-72,1,AAEL008879,,Kynurenine 3-monooxygenase (EC 1.14.13.9)(Kynurenine 3-hydroxylase)
3.48542191738634e-05,0.821853273182569,0.668,0.453,0.0697084383477268,8,AAEL008879,,Kynurenine 3-monooxygenase (EC 1.14.13.9)(Kynurenine 3-hydroxylase)
2.58867111960864e-75,0.681953387603311,0.566,0.435,5.17734223921728e-72,1,AAEL006381,,sphingomyelin phosphodiesterase
5.7331524842789e-75,0.61442710524837,0.8,0.624,1.14663049685578e-71,1,AAEL003317,,alkaline phosphatase
1.96409927466547e-27,0.257401200792115,0.795,0.626,3.9281985493309404e-24,2,AAEL003317,,alkaline phosphatase
5.03421664271839e-41,0.311777585970493,0.835,0.642,1.00684332854368e-37,3,AAEL003317,,alkaline phosphatase
3.4671399538645703e-74,0.399229710044022,0.554,0.374,6.93427990772913e-71,1,AAEL012131,,cationic amino acid transporter
1.33938665095136e-47,1.75569675761965,0.791,0.399,2.6787733019027204e-44,8,AAEL012131,,cationic amino acid transporter
4.88309269784943e-72,0.603999107717486,0.64,0.489,9.766185395698849e-69,1,AAEL007592,,ML domain-containing protein [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4FH88]
7.73091204501095e-70,0.341072065228914,0.533,0.379,1.54618240900219e-66,1,AAEL003318,,oligopeptide transporter
1.63502617023229e-17,0.365313418825758,0.677,0.402,3.27005234046459e-14,8,AAEL003318,,oligopeptide transporter
1.33365568787625e-07,1.55604682296985,0.634,0.409,0.0002667311375752,11,AAEL003318,,oligopeptide transporter
1.21882990504648e-68,0.334232858951125,0.488,0.323,2.43765981009296e-65,1,AAEL001667,,multicopper oxidase
3.49325626736789e-11,1.19892293844963,0.614,0.348,6.98651253473577e-08,8,AAEL001667,,multicopper oxidase
7.54953307161215e-68,0.468932800341557,0.7,0.497,1.50990661432243e-64,1,AAEL024675,,unspecified product
3.6206376576487404e-60,0.582331030029777,0.772,0.515,7.24127531529748e-57,3,AAEL024675,,unspecified product
1.00610668550783e-62,2.1180031875198,0.936,0.526,2.01221337101565e-59,8,AAEL024675,,unspecified product
4.84514285011142e-63,0.318878079483253,0.577,0.405,9.69028570022285e-60,1,AAEL009323,,carbonic anhydrase precursor
7.990561783410731e-17,1.16754483631773,0.714,0.432,1.59811235668215e-13,8,AAEL009323,,carbonic anhydrase precursor
2.3641135435387e-61,0.310926579628289,0.396,0.258,4.7282270870773904e-58,1,AAEL009108,,protease m1 zinc metalloprotease
3.14322399915106e-61,0.36914668694926,0.945,0.795,6.2864479983021304e-58,1,AAEL006425,,trypsin
1.06889832965025e-50,0.669635670862456,0.984,0.809,2.1377966593005e-47,3,AAEL006425,,trypsin
0.0032775578831684,0.537742846700431,0.906,0.823,1.0,7,AAEL006425,,trypsin
4.4857170289067395e-18,2.94273597331099,0.976,0.824,8.97143405781348e-15,11,AAEL006425,,trypsin
2.15730036855088e-56,0.46736490939975,0.485,0.371,4.31460073710175e-53,1,AAEL014515,,metalloproteinase%2C putative
3.35959307378417e-55,0.730629302219789,0.481,0.401,6.71918614756835e-52,1,AAEL010202,,trypsin
5.22205671943923e-52,0.348274282327723,0.561,0.339,1.04441134388785e-48,1,AAEL005428,,unspecified product
3.28049441469368e-54,0.495236757839793,0.671,0.355,6.56098882938737e-51,3,AAEL005428,,unspecified product
5.8189081128645e-14,0.699592452623012,0.674,0.375,1.1637816225729001e-10,7,AAEL005428,,unspecified product
8.02792011036577e-51,0.505247037914685,0.653,0.403,1.60558402207315e-47,1,AAEL022646,,Larval chymotrypsin-like protein [Source:UniProtKB/TrEMBL%3BAcc:Q8T639]
1.6587899575802698e-29,0.396742617351304,0.711,0.427,3.31757991516054e-26,3,AAEL022646,,Larval chymotrypsin-like protein [Source:UniProtKB/TrEMBL%3BAcc:Q8T639]
1.5800979910477098e-49,0.391017874422249,0.905,0.743,3.16019598209543e-46,1,AAEL009760,,Niemann-Pick Type C-2%2C putative
5.93295357559275e-24,0.250138299384146,0.886,0.748,1.1865907151185501e-20,2,AAEL009760,,Niemann-Pick Type C-2%2C putative
1.00423173178785e-58,0.649201012738873,0.961,0.757,2.00846346357569e-55,3,AAEL009760,,Niemann-Pick Type C-2%2C putative
1.85694019873831e-49,0.430462082764806,0.614,0.465,3.71388039747662e-46,1,AAEL012578,,Phosphoserine aminotransferase [Source:UniProtKB/TrEMBL%3BAcc:Q1HRL1]
4.5843287688135e-49,0.356148657877967,0.432,0.314,9.168657537627001e-46,1,AAEL013611,,AMP dependent ligase
5.9671040665335294e-96,0.514425165472141,0.868,0.322,1.19342081330671e-92,8,AAEL013611,,AMP dependent ligase
7.108483971598901e-47,0.621505226893614,0.399,0.281,1.4216967943197799e-43,1,AAEL002347,,serine-type enodpeptidase%2C
6.51527566607975e-41,0.524526051357817,0.501,0.426,1.30305513321595e-37,1,AAEL026174,,unspecified product
6.30721992192347e-39,0.309152805507303,0.546,0.407,1.2614439843846901e-35,1,AAEL026023,,unspecified product
2.2061511174207597e-11,2.38332191216326,0.756,0.433,4.41230223484153e-08,11,AAEL026023,,unspecified product
4.96416004975666e-35,0.432401157907627,0.429,0.356,9.92832009951331e-32,1,AAEL007812,CYP4H32,cytochrome P450
3.55098844899525e-32,0.929196043852103,0.462,0.398,7.1019768979905e-29,1,AAEL019470,,unspecified product
7.860355250216699e-58,0.437957700406774,0.855,0.398,1.57207105004334e-54,8,AAEL019470,,unspecified product
9.34905782037205e-32,0.300728168363573,0.437,0.354,1.8698115640744098e-28,1,AAEL007030,,ceramidase
1.3312771327511e-74,0.602999690040784,0.832,0.357,2.66255426550221e-71,8,AAEL007030,,ceramidase
0.0067804405854006,0.458222383573896,0.192,0.374,1.0,10,AAEL007030,,ceramidase
1.2670217516295901e-31,0.466070458780076,0.429,0.321,2.53404350325918e-28,1,AAEL013197,,Chitin-binding type-4 domain-containing protein [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4FYP2]
1.2385212804423101e-20,2.65716251855976,0.854,0.34,2.47704256088462e-17,11,AAEL013197,,Chitin-binding type-4 domain-containing protein [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4FYP2]
4.72797927778195e-31,0.407641205487504,0.551,0.416,9.45595855556391e-28,1,AAEL003434,,alpha-amylase
6.174629099599849e-22,0.391360265472306,0.734,0.434,1.23492581991997e-18,7,AAEL003434,,alpha-amylase
9.58184724455105e-05,1.13193701619139,0.634,0.442,0.191636944891021,11,AAEL003434,,alpha-amylase
9.1912900208817e-29,0.408232231137987,0.465,0.398,1.83825800417634e-25,1,AAEL012351,,prolylcarboxypeptidase%2C putative
4.4081059906432e-71,0.252882516344931,0.859,0.398,8.8162119812864e-68,8,AAEL012351,,prolylcarboxypeptidase%2C putative
5.08047807241156e-06,0.581511188881571,0.184,0.416,0.0101609561448231,10,AAEL012351,,prolylcarboxypeptidase%2C putative
8.77045400361207e-22,0.401045394311511,0.433,0.393,1.75409080072241e-18,1,AAEL001674,,serine-type enodpeptidase%2C
6.83509431519516e-18,0.556556847788638,0.382,0.322,1.3670188630390301e-14,1,AAEL002360,,serine-type enodpeptidase%2C
2.15049305764649e-08,0.298052753724523,0.446,0.411,4.30098611529299e-05,1,AAEL021292,,unspecified product
4.2661347749634196e-57,0.360857931107412,0.632,0.374,8.532269549926831e-54,2,AAEL001837,,Lipase [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4EZX5]
6.748860093884329e-55,0.28776543022503,0.669,0.436,1.34977201877687e-51,2,AAEL012866,,unspecified product
2.6066354046214904e-60,0.630168945959483,0.678,0.464,5.21327080924298e-57,3,AAEL012866,,unspecified product
1.61961195031398e-65,1.65410354733581,0.867,0.471,3.2392239006279497e-62,7,AAEL012866,,unspecified product
2.8371286347239104e-15,0.340008823931534,0.696,0.58,5.67425726944783e-12,2,AAEL013774,,unspecified product
