n_pcs,resolution,silhouette_score
15,0.1,-0.03656385
15,0.30000000000000004,-0.07337192
15,0.5,-0.11773129
15,0.7000000000000001,-0.14675856
15,0.9,-0.14968354
16,0.1,-0.03812671
16,0.30000000000000004,-0.10023035
16,0.5,-0.10199383
16,0.7000000000000001,-0.15444721
16,0.9,-0.15083027
17,0.1,-0.0382759
17,0.30000000000000004,-0.10553767
17,0.5,-0.10852783
17,0.7000000000000001,-0.14966811
17,0.9,-0.15968397
18,0.1,-0.03436127
18,0.30000000000000004,-0.087745875
18,0.5,-0.10619796
18,0.7000000000000001,-0.13158347
18,0.9,-0.15192448
19,0.1,-0.039500862
19,0.30000000000000004,-0.049727097
19,0.5,-0.10004934
19,0.7000000000000001,-0.15425533
19,0.9,-0.15378612
20,0.1,-0.039281398
20,0.30000000000000004,-0.110235624
20,0.5,-0.10140484
20,0.7000000000000001,-0.15760624
20,0.9,-0.15154038
