n_pcs,resolution,silhouette_score
7,0.1,-0.043531235
7,0.30000000000000004,-0.16888927
7,0.5,-0.16261604
7,0.7000000000000001,-0.17410801
7,0.9,-0.16834852
8,0.1,-0.04354826
8,0.30000000000000004,-0.1688375
8,0.5,-0.16664253
8,0.7000000000000001,-0.16581048
8,0.9,-0.16559078
9,0.1,-0.05514699
9,0.30000000000000004,-0.16672917
9,0.5,-0.16654716
9,0.7000000000000001,-0.15705511
9,0.9,-0.17371841
10,0.1,-0.04426702
10,0.30000000000000004,-0.16701351
10,0.5,-0.16701351
10,0.7000000000000001,-0.16024964
10,0.9,-0.17670389
11,0.1,-0.04426702
11,0.30000000000000004,-0.16802563
11,0.5,-0.1634886
11,0.7000000000000001,-0.1599884
11,0.9,-0.17638408
12,0.1,-0.041730177
12,0.30000000000000004,-0.16939451
12,0.5,-0.16751565
12,0.7000000000000001,-0.1603721
12,0.9,-0.17784557
13,0.1,-0.039833374
13,0.30000000000000004,-0.17761604
13,0.5,-0.16759977
13,0.7000000000000001,-0.15727119
13,0.9,-0.16856594
14,0.1,-0.038985826
14,0.30000000000000004,-0.05231844
14,0.5,-0.16778992
14,0.7000000000000001,-0.15828997
14,0.9,-0.17393476
15,0.1,-0.042276002
15,0.30000000000000004,-0.05703309
15,0.5,-0.16778846
15,0.7000000000000001,-0.15851149
15,0.9,-0.15851149
