names,pvals_adj,logfoldchanges,scores,pts,pts_rest,cluster_name
AAEL002572,7.992656010676743e-95,7.28395,21.132055,0.834061135371179,0.056663775657704536,VM
AAEL012207,1.2551145642692018e-92,7.3378963,20.858822,0.8209606986899564,0.03975137322925701,VM
AAEL019525,2.3952389399005667e-88,7.4293804,20.362082,0.7991266375545851,0.028910089621277824,VM
AAEL019799,1.1692830408836968e-83,7.4860873,19.811659,0.777292576419214,0.0265972824515756,VM
AAEL010205,1.0883455326734385e-81,7.4561872,19.570719,0.7685589519650655,0.025440878866724487,VM
AAEL001673,2.6114629342920348e-79,7.348898,19.279972,0.759825327510917,0.03613761202659728,VM
AAEL006872,6.576186450789958e-77,7.2459474,18.98374,0.7467248908296943,0.027030933795894767,VM
AAEL026217,2.819491480506714e-73,7.3713403,18.532036,0.7292576419213974,0.02674183289968199,VM
AAEL002565,3.018609905814931e-68,6.939619,17.891573,0.7074235807860262,0.03310205261636311,VM
AAEL010850,5.155451758095447e-59,7.2323284,16.659004,0.6550218340611353,0.017635154668979473,VM
AAEL025391,9.844878221381284e-55,4.8324757,16.052753,0.6724890829694323,0.10913558832032379,VM
AAEL002759,3.642415607623492e-54,7.2999206,15.965936,0.62882096069869,0.019514310494362534,VM
AAEL018211,4.0093885993249243e-54,5.394278,15.954948,0.6550218340611353,0.08398381034981209,VM
AAEL002761,6.6518715289678686e-52,4.809487,15.627873,0.6768558951965066,0.17866435385949697,VM
AAEL002859,1.0354815114615272e-51,4.375005,15.595239,0.6724890829694323,0.143394044521538,VM
AAEL010975,1.0588925715521486e-51,7.587855,15.589688,0.611353711790393,0.012720439433362244,VM
AAEL019618,1.9849186335440746e-51,7.384558,15.545611,0.611353711790393,0.01676785198034114,VM
AAEL006572,3.306373941722362e-51,6.818581,15.509217,0.611353711790393,0.01647875108412836,VM
AAEL020452,4.446394026211908e-48,6.7265024,15.0359955,0.5982532751091703,0.029199190517490606,VM
AAEL002417,9.590215420142214e-47,7.5511127,14.827803,0.5807860262008734,0.009251228678808905,VM
AAEL022136,2.3355829065662257e-46,7.1101665,14.764634,0.5851528384279476,0.025585429314830876,VM
AAEL026967,2.178991659617972e-36,7.70109,13.119962,0.5152838427947598,0.011130384504191963,VM
AAEL020846,3.844072036157867e-36,4.382815,13.07053,0.5633187772925764,0.09916160740098294,VM
